State/UT,2020,2021,2022,Category
Andhra Pradesh,17089,17752,25503,State
Arunachal Pradesh,281,366,335,State
Assam,26352,29046,14148,State
Bihar,15359,17950,20222,State
Chhattisgarh,7385,7344,8693,State
Goa,219,224,273,State
Gujarat,8028,7348,7731,State
Haryana,13000,16658,16743,State
Himachal Pradesh,1614,1599,1551,State
Jharkhand,7630,8110,7678,State
Karnataka,12680,14468,17813,State
Kerala,10139,13539,15213,State
Madhya Pradesh,25640,30673,32765,State
Maharashtra,31954,39526,45331,State
Manipur,247,302,248,State
Meghalaya,568,685,690,State
Mizoram,172,176,147,State
Nagaland,39,54,49,State
Odisha,25489,31352,23648,State
Punjab,4838,5662,5572,State
Rajasthan,34535,40738,45058,State
Sikkim,140,130,179,State
Tamil Nadu,6630,8501,9207,State
Telangana,17791,20865,22066,State
Tripura,874,807,752,State
Uttar Pradesh,49385,56083,65743,State
Uttarakhand,2846,3431,4337,State
West Bengal,36439,35884,34738,State
Andaman and Nicobar Islands,143,169,178,Union Territory
Chandigarh,301,343,325,Union Territory
Dadra & Nagar Haveli and Daman & Diu,61,99,126,Union Territory
Delhi,10093,14277,14247,Union Territory
Jammu & Kashmir,3405,3937,3716,Union Territory
Ladakh,9,18,15,Union Territory
Lakshadweep,15,9,16,Union Territory
Puducherry,113,153,200,Union Territory
