Category,State/UT,2017,2018,2019
State,Andhra Pradesh,17909,16438,17746
State,Arunachal Pradesh,337,368,317
State,Assam,23082,27687,30025
State,Bihar,14711,16920,18587
State,Chhattisgarh,7996,8587,7689
State,Goa,369,362,329
State,Gujarat,8133,8329,8799
State,Haryana,11370,14326,14683
State,Himachal Pradesh,1246,1633,1636
Union Territory,Jammu & Kashmir,3129,3437,3069
State,Jharkhand,5911,7083,8760
State,Karnataka,14078,13514,13828
State,Kerala,11057,10461,11462
State,Madhya Pradesh,29788,28942,27560
State,Maharashtra,31979,35497,37144
State,Manipur,236,271,266
State,Meghalaya,567,571,558
State,Mizoram,301,249,170
State,Nagaland,79,75,43
State,Odisha,20098,20274,23183
State,Punjab,4620,5302,5886
State,Rajasthan,25993,27866,41550
State,Sikkim,163,172,125
State,Tamil Nadu,5397,5822,5934
State,Telangana,17521,16027,18394
State,Tripura,972,907,1070
State,Uttar Pradesh,56011,59445,59853
State,Uttarakhand,1944,2817,2541
State,West Bengal,30992,30394,30394
Union Territory,Andaman and Nicobar Islands,132,147,135
Union Territory,Chandigarh,453,442,515
Union Territory,Delhi,13076,13640,13395
Union Territory,Lakshadweep,6,11,38
Union Territory,Puducherry,147,166,95
Union Territory,Dadra & Nagar Haveli and Daman & Diu,46,54,82
Union Territory,Ladakh,0,0,0
