Category,State/UT,2016,2017,2018
State,Andhra Pradesh,16362,17909,16438
State,Arunachal Pradesh,367,337,368
State,Assam,20869,23082,27728
State,Bihar,13400,14711,16920
State,Chhattisgarh,5947,7996,8587
State,Goa,371,369,362
State,Gujarat,8532,8133,8329
State,Haryana,9839,11370,14326
State,Himachal Pradesh,1222,1246,1633
Union Territory,Jammu & Kashmir,2850,3129,3437
State,Jharkhand,5453,5911,7083
State,Karnataka,14131,14078,13514
State,Kerala,10034,11057,10461
State,Madhya Pradesh,26604,29788,28942
State,Maharashtra,31388,31979,35497
State,Manipur,253,236,271
State,Meghalaya,372,567,571
State,Mizoram,120,301,249
State,Nagaland,105,79,75
State,Odisha,17837,20098,20274
State,Punjab,5105,4620,5302
State,Rajasthan,27422,25993,27866
State,Sikkim,153,163,172
State,Tamil Nadu,4463,5397,5822
State,Telangana,15374,17521,16027
State,Tripura,1013,972,907
State,Uttar Pradesh,49262,56011,59445
State,Uttarakhand,1588,1944,2817
State,West Bengal,32513,30992,30394
Union Territory,Andaman and Nicobar Islands,108,132,147
Union Territory,Chandigarh,414,453,442
Union Territory,Delhi,15310,13076,13640
Union Territory,Lakshadweep,9,6,11
Union Territory,Puducherry,95,147,166
Union Territory,Dadra & Nagar Haveli and Daman & Diu,69,46,54
Union Territory,Ladakh,0,0,0
