Category,State/UT,2015,2016,2017
State,Andhra Pradesh,15967,16362,17909
State,Arunachal Pradesh,384,367,337
State,Assam,23365,20869,23082
State,Bihar,13904,13400,14711
State,Chhattisgarh,5783,5947,7996
State,Goa,392,371,369
State,Gujarat,7777,8532,8133
State,Haryana,9511,9839,11370
State,Himachal Pradesh,1295,1222,1246
Union Territory,Jammu & Kashmir,3366,2850,3129
State,Jharkhand,6568,5453,5911
State,Karnataka,12775,14131,14078
State,Kerala,9767,10034,11057
State,Madhya Pradesh,24231,26604,29788
State,Maharashtra,31216,31388,31979
State,Manipur,266,253,236
State,Meghalaya,337,372,567
State,Mizoram,158,120,301
State,Nagaland,91,105,79
State,Odisha,17200,17837,20098
State,Punjab,5340,5105,4620
State,Rajasthan,28224,27422,25993
State,Sikkim,53,153,163
State,Tamil Nadu,5919,4463,5397
State,Telangana,15425,15374,17521
State,Tripura,1267,1013,972
State,Uttar Pradesh,35908,49262,56011
State,Uttarakhand,1465,1588,1944
State,West Bengal,33318,32513,30992
Union Territory,Andaman and Nicobar Islands,136,108,132
Union Territory,Chandigarh,468,414,453
Union Territory,Delhi,17222,15310,13076
Union Territory,Lakshadweep,9,9,6
Union Territory,Puducherry,82,95,147
Union Territory,Dadra & Nagar Haveli and Daman & Diu,54,69,46
Union Territory,Ladakh,0,0,0
