State/UT,2021,2022,2023,Category
Andhra Pradesh,17752,25503,22418,State
Arunachal Pradesh,366,335,326,State
Assam,29046,14148,12070,State
Bihar,17950,20222,22952,State
Chhattisgarh,7344,8693,8035,State
Goa,224,273,286,State
Gujarat,7348,7731,7805,State
Haryana,16658,16743,15758,State
Himachal Pradesh,1599,1551,1604,State
Jharkhand,8110,7678,6989,State
Karnataka,14468,17813,20336,State
Kerala,13539,15213,16025,State
Madhya Pradesh,30673,32765,32342,State
Maharashtra,39526,45331,47101,State
Manipur,302,248,201,State
Meghalaya,685,690,628,State
Mizoram,176,147,184,State
Nagaland,54,49,56,State
Odisha,31352,23648,25914,State
Punjab,5662,5572,5258,State
Rajasthan,40738,45058,45450,State
Sikkim,130,179,134,State
Tamil Nadu,8501,9207,8943,State
Telangana,20865,22066,23678,State
Tripura,807,752,791,State
Uttar Pradesh,56083,65743,66381,State
Uttarakhand,3431,4337,3808,State
West Bengal,35884,34738,34691,State
Andaman and Nicobar Islands,169,178,205,Union Territory
Chandigarh,343,325,371,Union Territory
Dadra & Nagar Haveli and Daman & Diu,99,126,124,Union Territory
Delhi,14277,14247,13439,Union Territory
Jammu & Kashmir,3937,3716,3653,Union Territory
Ladakh,18,15,20,Union Territory
Lakshadweep,9,16,23,Union Territory
Puducherry,153,200,212,Union Territory
